id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
AAPL_2020-09-10;AAPL;2020-09-10 14:00:00;2020-09-10;0;0;0;0;0;UNCHECKED;0.1353916666666667;0.10115;-0.008775000000000005;0.0
AAPL_2020-09-09;AAPL;2020-09-09 22:33:44;2020-09-10;0;0;0;0;0;UNCHECKED;0.367775;0.4513;0.1615;0.0
MSFT_2020-09-10;MSFT;2020-09-10 13:39:00;2020-09-10;0;0;0;0;0;UNCHECKED;0.37795;0.45555;0.03821666666666667;0.0
MSFT_2020-09-09;MSFT;2020-09-09 23:35:11;2020-09-10;0;0;0;0;0;UNCHECKED;0.4939;0.4939;0.4404;0.4404
NFLX_2020-09-10;NFLX;2020-09-10 13:05:00;2020-09-10;0;0;0;0;0;UNCHECKED;-0.7906;-0.7906;0.4404;0.4404
NFLX_2020-09-09;NFLX;2020-09-09 20:25:00;2020-09-10;0;0;0;0;0;UNCHECKED;0.4343100000000001;0.51695;0.05525;0.0
NFLX_2020-09-08;NFLX;2020-09-08 20:29:53;2020-09-09;0;0;0;0;0;UNCHECKED;-0.2518875;-0.5492999999999999;-0.017775000000000006;0.0
INFY_2020-09-03;INFY;2020-09-03 18:36:00;2020-09-03;0;0;0;0;0;UNCHECKED;0.93875;0.93875;0.3389;0.3389
INFY_2020-09-02;INFY;2020-09-02 10:30:00;2020-09-02;0;0;0;0;0;UNCHECKED;0.2748;0.2748;0.8591;0.8591
INFY_2020-09-01;INFY;2020-09-01 13:55:00;2020-09-01;0;0;0;0;0;UNCHECKED;0.4462;0.4462;0.2038;0.2038
INFY_2020-08-26;INFY;2020-08-26 18:00:00;2020-08-26;0;0;0;0;0;UNCHECKED;0.8979666666666667;0.926;0.10606666666666666;0.0
INFY_2020-08-20;INFY;2020-08-20 09:22:00;2020-08-20;0;0;0;0;0;UNCHECKED;0.8779;0.8779;0.29600000000000004;0.29600000000000004
INFY_2020-08-18;INFY;2020-08-18 10:17:00;2020-08-18;0;0;0;0;0;UNCHECKED;0.1779;0.1779;0.0;0.0
INFY_2020-08-12;INFY;2020-08-12 10:07:10;2020-08-12;0;0;0;0;0;UNCHECKED;0.7783;0.7783;0.29600000000000004;0.29600000000000004
INFY_2020-08-06;INFY;2020-08-06 15:40:03;2020-08-06;0;0;0;0;0;UNCHECKED;0.6486;0.6486;0.6486;0.6486
INFY_2020-08-04;INFY;2020-08-04 16:30:00;2020-08-04;0;0;0;0;0;UNCHECKED;0.9719;0.9719;0.6249;0.6249
INFY_2020-08-02;INFY;2020-08-02 22:57:58;2020-08-03;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
INFY_2020-07-27;INFY;2020-07-27 09:53:00;2020-07-27;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
INFY_2020-07-23;INFY;2020-07-23 12:37:12;2020-07-23;0;0;0;0;0;UNCHECKED;0.6369;0.6369;0.0;0.0
INFY.NS_2020-08-22;INFY.NS;2020-08-22 09:56:41;2020-08-24;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
KOTAKBANK.NS_2020-06-02;KOTAKBANK.NS;2020-06-02 04:19:36;2020-06-02;0;0;0;0;0;UNCHECKED;0.4588;0.4588;0.6369;0.6369
KOTAKBANK.NS_2019-11-14;KOTAKBANK.NS;2019-11-14 09:20:37;2019-11-14;0;0;0;0;0;UNCHECKED;0.0;0.0;-0.2263;-0.2263
KOTAKBANK.NS_2019-10-22;KOTAKBANK.NS;2019-10-22 17:29:25;2019-10-22;0;0;0;0;0;UNCHECKED;0.023399999999999976;0.023399999999999976;0.009450000000000014;0.009450000000000014
